job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,days_ago,salary_numeric
data scientist,lead,remote,company_615,Fully Remote,a month ago,"New York, NY, US",Healthcare,Private,180,Private,"€173,536 - €200,936",[],,187236
data scientist,Not Specified,on-site,company_383,"Barcelona, Spain . On-site",a month ago,"Milano, IT",Technology,Private,"3,780",Private,"€46,527 - €76,221",[],,61374
data scientist,Not Specified,hybrid,company_624,Hybrid,a month ago,"Paris, IDF, FR",Technology,Private,180,Private,"€39,254 - €58,876",[],,49065
data scientist,senior,remote,company_625,Fully Remote,6 months ago,"San Francisco, CA, US",Energy,Private,90,Private,"€141,572 - €168,972",[],6,155272
data scientist,midlevel,on-site,company_631,"San Francisco, CA",21 days ago,"Santa Monica, CA, US",Technology,Public,"9,300",Public,"€130,666 - €241,896","['spark', 'aws', 'python', 'airflow', 'sql', 'gcp', 'machine learning']",21,186281
data scientist,midlevel,on-site,company_634,"Rockville, MD",a month ago,"Brentford, GB",Healthcare,Public,"106,370",Public,"€124,333 - €207,218","['machine learning', 'r', 'python']",,165775.5
data scientist,senior,hybrid,company_423,"New York, NY . Hybrid",2 months ago,"New York, NY, US",Technology,Private,500,Private,"€109,603 - €118,736",[],2,114169.5
data scientist,lead,on-site,company_057,"Seattle, WA",7 days ago,"Seattle, WA, US",Retail,Public,"157,150",Public,"€120,567","['python', 'sql', 'machine learning', 'azure', 'tableau']",7,120567
data scientist,senior,remote,company_638,United States,7 days ago,"Chicago, IL, US",Technology,Private,960,Private,"€109,600 - €118,733","['spark', 'aws', 'git', 'r', 'python', 'powerbi', 'scala', 'java', 'sql', 'machine learning', 'gcp', 'hadoop', 'azure', 'matplotlib', 'tableau']",7,114166.5
data scientist,lead,on-site,company_640,United States,14 days ago,"Coraopolis, PA, US",Retail,Public,"50,040",Public,"€86,958","['pytorch', 'spark', 'python', 'machine learning', 'deep learning', 'azure', 'tensorflow']",14,86958
data scientist,senior,remote,company_642,Fully Remote,2 days ago,"Boston, MA, US",Healthcare,Private,360,Private,"€109,606 - €146,139",[],2,127872.5
data scientist,senior,hybrid,company_643,"Minneapolis, MN . Hybrid",7 days ago,"Sugar Land, TX, US",Healthcare,Private,751,Private,"€103,871","['sql', 'machine learning', 'r', 'python']",7,103871
data scientist,Not Specified,hybrid,company_645,Hybrid,a year ago,"Berkeley, CA, US",Technology,Private,180,Private,"€137,003 - €173,536",[],,155269.5
data scientist,senior,remote,company_647,"India, Bengaluru . Fully Remote",5 days ago,"London, GB",Technology,Private,900,Private,"€39,026",[],5,39026
machine learning engineer,senior,on-site,company_653,"Colorado Springs, CO",14 days ago,"Huntsville, AL, US",Technology,Private,"1,040",Private,"€109,608 - €127,875","['pytorch', 'scikit-learn', 'machine learning', 'tensorflow']",14,118741.5
data scientist,senior,hybrid,company_654,"San Francisco, CA . Hybrid",21 days ago,"San Francisco, CA, US",Technology,Private,780,Private,"€146,135 - €196,368",[],21,171251.5
data scientist,senior,Unknown,company_254,"Chicago, IL",7 days ago,"South Bend, IN, US",Healthcare,Public,"2,540",Public,"€63,942 - €86,775","['powerbi', 'r', 'python', 'sql', 'database', 'hadoop', 'tableau']",7,75358.5
data scientist,senior,on-site,company_662,On-site,13 days ago,"Redwood City, CA, US",Technology,Private,600,Private,"€147,968",[],13,147968
data scientist,Not Specified,hybrid,company_645,Hybrid,3 years ago,"Berkeley, CA, US",Technology,Private,180,Private,"€137,005 - €173,538",[],3,155271.5
data scientist,Not Specified,on-site,company_665,"South San Francisco, California, United States . On-site",2 months ago,"San Francisco, CA, US",Technology,Private,45,Private,"€159,835 - €182,668",[],2,171251.5
data scientist,senior,Unknown,company_666,"Singapore, Singapore",a month ago,SG,Technology,Unknown,"6,040",Education,"€80,624",['database'],,80624
data scientist,lead,on-site,company_668,"Sacramento, California, United States . Jacksonville, Florida, United States . Austin, Texas, United States . Mexico City, Mexico . Ottawa, Ontario, Canada + 17 More . On-site",2 months ago,"San Francisco, CA, US",Technology,Private,420,Private,"€218,288",[],2,218288
data scientist,Not Specified,on-site,company_670,"Annapolis Junction, Maryland, United States . On-site",7 days ago,"Herndon, VA, US",Technology,Private,57,Private,"€45,667 - €264,871",[],7,155269
data scientist,senior,remote,company_675,Fully Remote,2 months ago,"El Segundo, CA, US",Technology,Private,45,Private,"€141,574 - €182,674",[],2,162124
